source,image,people_count
CNN,img_27.jpg,0
CNN,img_25.jpg,1
CNN,img_46.jpg,1
CNN,img_62.jpg,3
CNN,img_76.jpg,1
CNN,img_64.jpg,1
CNN,img_57.jpg,0
CNN,img_72.jpg,1
CNN,img_81.jpg,1
CNN,img_94.jpg,0
CNN,img_38.jpg,1
CNN,img_51.jpg,3
CNN,img_66.jpg,2
CNN,img_26.jpg,2
CNN,img_83.jpg,3
CNN,img_69.jpg,0
CNN,img_11.jpg,2
CNN,img_65.jpg,0
CNN,img_43.jpg,3
CNN,img_8.jpg,1
CNN,img_39.jpg,2
CNN,img_44.jpg,0
CNN,img_63.jpg,0
CNN,img_97.jpg,1
CNN,img_22.jpg,6
CNN,img_52.jpg,0
CNN,img_98.jpg,6
CNN,img_89.jpg,2
CNN,img_47.jpg,2
CNN,img_49.jpg,0
CNN,img_61.jpg,1
CNN,img_87.jpg,1
CNN,img_82.jpg,3
CNN,img_7.jpg,1
CNN,img_13.jpg,2
CNN,img_29.jpg,2
CNN,img_37.jpg,0
CNN,img_75.jpg,1
CNN,img_48.jpg,2
CNN,img_6.jpg,5
CNN,img_85.jpg,0
CNN,img_79.jpg,0
CNN,img_17.jpg,4
CNN,img_96.jpg,0
CNN,img_73.jpg,1
CNN,img_31.jpg,0
CNN,img_5.jpg,2
CNN,img_80.jpg,1
CNN,img_67.jpg,2
CNN,img_18.jpg,0
CNN,img_93.jpg,4
CNN,img_4.jpg,0
CNN,img_21.jpg,0
CNN,img_9.jpg,3
CNN,img_86.jpg,2
CNN,img_23.jpg,0
CNN,img_15.jpg,6
CNN,img_99.jpg,1
CNN,img_55.jpg,2
CNN,img_2.jpg,0
CNN,img_50.jpg,3
CNN,img_0.jpg,0
CNN,img_41.jpg,0
CNN,img_20.jpg,2
CNN,img_3.jpg,2
CNN,img_32.jpg,0
CNN,img_40.jpg,0
CNN,img_59.jpg,1
CNN,img_92.jpg,0
CNN,img_1.jpg,1
CNN,img_10.jpg,1
CNN,img_56.jpg,1
CNN,img_16.jpg,0
CNN,img_71.jpg,3
CNN,img_90.jpg,0
CNN,img_53.jpg,4
CNN,img_74.jpg,0
CNN,img_88.jpg,2
CNN,img_30.jpg,1
CNN,img_14.jpg,4
CNN,img_68.jpg,0
CNN,img_24.jpg,1
CNN,img_34.jpg,0
CNN,img_91.jpg,0
CNN,img_95.jpg,1
CNN,img_36.jpg,1
CNN,img_78.jpg,0
CNN,img_60.jpg,1
CNN,img_33.jpg,1
CNN,img_35.jpg,2
CNN,img_84.jpg,1
CNN,img_77.jpg,1
CNN,img_70.jpg,1
CNN,img_42.jpg,2
CNN,img_58.jpg,1
CNN,img_54.jpg,2
CNN,img_45.jpg,1
CNN,img_19.jpg,1
CNN,img_28.jpg,0
NBC,img_27.jpg,0
NBC,img_25.jpg,0
NBC,img_46.jpg,3
NBC,img_62.jpg,0
NBC,img_76.jpg,1
NBC,img_64.jpg,0
NBC,img_57.jpg,0
NBC,img_72.jpg,0
NBC,img_81.jpg,5
NBC,img_94.jpg,1
NBC,img_38.jpg,1
NBC,img_51.jpg,1
NBC,img_66.jpg,0
NBC,img_26.jpg,0
NBC,img_83.jpg,0
NBC,img_69.jpg,0
NBC,img_11.jpg,0
NBC,img_65.jpg,0
NBC,img_43.jpg,0
NBC,img_8.jpg,1
NBC,img_39.jpg,0
NBC,img_44.jpg,4
NBC,img_63.jpg,2
NBC,img_97.jpg,1
NBC,img_22.jpg,0
NBC,img_52.jpg,2
NBC,img_98.jpg,0
NBC,img_89.jpg,1
NBC,img_47.jpg,0
NBC,img_49.jpg,0
NBC,img_61.jpg,0
NBC,img_87.jpg,1
NBC,img_82.jpg,5
NBC,img_7.jpg,0
NBC,img_13.jpg,1
NBC,img_12.jpg,0
NBC,img_29.jpg,0
NBC,img_37.jpg,1
NBC,img_75.jpg,2
NBC,img_48.jpg,2
NBC,img_6.jpg,1
NBC,img_85.jpg,5
NBC,img_79.jpg,1
NBC,img_17.jpg,0
NBC,img_96.jpg,0
NBC,img_73.jpg,1
NBC,img_31.jpg,2
NBC,img_5.jpg,0
NBC,img_80.jpg,1
NBC,img_67.jpg,4
NBC,img_18.jpg,0
NBC,img_93.jpg,0
NBC,img_4.jpg,2
NBC,img_21.jpg,0
NBC,img_9.jpg,0
NBC,img_86.jpg,2
NBC,img_23.jpg,1
NBC,img_15.jpg,1
NBC,img_99.jpg,0
NBC,img_55.jpg,5
NBC,img_2.jpg,0
NBC,img_50.jpg,1
NBC,img_0.jpg,0
NBC,img_41.jpg,0
NBC,img_20.jpg,0
NBC,img_3.jpg,0
NBC,img_32.jpg,1
NBC,img_40.jpg,0
NBC,img_59.jpg,0
NBC,img_92.jpg,2
NBC,img_1.jpg,2
NBC,img_10.jpg,0
NBC,img_56.jpg,0
NBC,img_16.jpg,2
NBC,img_71.jpg,0
NBC,img_90.jpg,1
NBC,img_53.jpg,0
NBC,img_74.jpg,1
NBC,img_88.jpg,0
NBC,img_30.jpg,1
NBC,img_68.jpg,1
NBC,img_24.jpg,0
NBC,img_34.jpg,1
NBC,img_91.jpg,0
NBC,img_95.jpg,1
NBC,img_36.jpg,1
NBC,img_78.jpg,1
NBC,img_60.jpg,1
NBC,img_33.jpg,1
NBC,img_35.jpg,0
NBC,img_84.jpg,0
NBC,img_77.jpg,1
NBC,img_70.jpg,0
NBC,img_42.jpg,0
NBC,img_58.jpg,1
NBC,img_54.jpg,4
NBC,img_45.jpg,0
NBC,img_19.jpg,2
NBC,img_28.jpg,0
NYT,img_27.jpg,0
NYT,img_25.jpg,0
NYT,img_46.jpg,0
NYT,img_62.jpg,1
NYT,img_76.jpg,1
NYT,img_64.jpg,0
NYT,img_57.jpg,2
NYT,img_72.jpg,2
NYT,img_81.jpg,4
NYT,img_94.jpg,4
NYT,img_38.jpg,1
NYT,img_51.jpg,0
NYT,img_66.jpg,1
NYT,img_26.jpg,1
NYT,img_83.jpg,4
NYT,img_69.jpg,0
NYT,img_11.jpg,0
NYT,img_65.jpg,0
NYT,img_43.jpg,0
NYT,img_8.jpg,0
NYT,img_39.jpg,1
NYT,img_44.jpg,4
NYT,img_63.jpg,0
NYT,img_97.jpg,1
NYT,img_22.jpg,1
NYT,img_52.jpg,2
NYT,img_98.jpg,0
NYT,img_89.jpg,0
NYT,img_47.jpg,6
NYT,img_49.jpg,1
NYT,img_61.jpg,0
NYT,img_87.jpg,2
NYT,img_82.jpg,1
NYT,img_7.jpg,1
NYT,img_13.jpg,0
NYT,img_12.jpg,3
NYT,img_29.jpg,1
NYT,img_37.jpg,1
NYT,img_75.jpg,1
NYT,img_48.jpg,1
NYT,img_6.jpg,1
NYT,img_85.jpg,3
NYT,img_79.jpg,4
NYT,img_17.jpg,0
NYT,img_96.jpg,0
NYT,img_73.jpg,0
NYT,img_31.jpg,0
NYT,img_5.jpg,0
NYT,img_80.jpg,2
NYT,img_67.jpg,0
NYT,img_18.jpg,1
NYT,img_93.jpg,1
NYT,img_4.jpg,0
NYT,img_21.jpg,2
NYT,img_9.jpg,1
NYT,img_86.jpg,1
NYT,img_23.jpg,6
NYT,img_15.jpg,2
NYT,img_99.jpg,2
NYT,img_55.jpg,5
NYT,img_2.jpg,1
NYT,img_50.jpg,1
NYT,img_0.jpg,1
NYT,img_41.jpg,0
NYT,img_20.jpg,1
NYT,img_3.jpg,0
NYT,img_32.jpg,2
NYT,img_40.jpg,0
NYT,img_59.jpg,1
NYT,img_92.jpg,0
NYT,img_1.jpg,0
NYT,img_10.jpg,3
NYT,img_56.jpg,0
NYT,img_16.jpg,0
NYT,img_71.jpg,7
NYT,img_90.jpg,5
NYT,img_53.jpg,0
NYT,img_74.jpg,0
NYT,img_88.jpg,4
NYT,img_30.jpg,8
NYT,img_68.jpg,3
NYT,img_24.jpg,0
NYT,img_34.jpg,0
NYT,img_91.jpg,0
NYT,img_95.jpg,3
NYT,img_36.jpg,2
NYT,img_78.jpg,0
NYT,img_60.jpg,1
NYT,img_33.jpg,0
NYT,img_35.jpg,0
NYT,img_84.jpg,1
NYT,img_77.jpg,2
NYT,img_70.jpg,0
NYT,img_42.jpg,0
NYT,img_58.jpg,0
NYT,img_54.jpg,1
NYT,img_45.jpg,3
NYT,img_19.jpg,1
NYT,img_28.jpg,4
China_Daily,img_27.jpg,2
China_Daily,img_25.jpg,1
China_Daily,img_46.jpg,0
China_Daily,img_62.jpg,2
China_Daily,img_76.jpg,1
China_Daily,img_64.jpg,3
China_Daily,img_57.jpg,0
China_Daily,img_72.jpg,0
China_Daily,img_81.jpg,0
China_Daily,img_94.jpg,2
China_Daily,img_38.jpg,3
China_Daily,img_51.jpg,1
China_Daily,img_66.jpg,2
China_Daily,img_26.jpg,2
China_Daily,img_83.jpg,0
China_Daily,img_69.jpg,3
China_Daily,img_11.jpg,3
China_Daily,img_65.jpg,1
China_Daily,img_43.jpg,0
China_Daily,img_8.jpg,0
China_Daily,img_39.jpg,0
China_Daily,img_44.jpg,3
China_Daily,img_63.jpg,2
China_Daily,img_97.jpg,2
China_Daily,img_22.jpg,5
China_Daily,img_52.jpg,0
China_Daily,img_98.jpg,1
China_Daily,img_89.jpg,2
China_Daily,img_47.jpg,3
China_Daily,img_49.jpg,1
China_Daily,img_61.jpg,3
China_Daily,img_87.jpg,3
China_Daily,img_82.jpg,0
China_Daily,img_7.jpg,0
China_Daily,img_13.jpg,0
China_Daily,img_12.jpg,1
China_Daily,img_29.jpg,1
China_Daily,img_37.jpg,1
China_Daily,img_75.jpg,1
China_Daily,img_48.jpg,1
China_Daily,img_6.jpg,0
China_Daily,img_85.jpg,0
China_Daily,img_79.jpg,0
China_Daily,img_17.jpg,3
China_Daily,img_96.jpg,0
China_Daily,img_73.jpg,2
China_Daily,img_31.jpg,1
China_Daily,img_5.jpg,8
China_Daily,img_80.jpg,0
China_Daily,img_67.jpg,5
China_Daily,img_18.jpg,1
China_Daily,img_93.jpg,5
China_Daily,img_4.jpg,1
China_Daily,img_21.jpg,2
China_Daily,img_9.jpg,0
China_Daily,img_86.jpg,2
China_Daily,img_23.jpg,1
China_Daily,img_15.jpg,2
China_Daily,img_99.jpg,2
China_Daily,img_55.jpg,7
China_Daily,img_2.jpg,2
China_Daily,img_50.jpg,1
China_Daily,img_0.jpg,0
China_Daily,img_41.jpg,3
China_Daily,img_20.jpg,3
China_Daily,img_3.jpg,2
China_Daily,img_32.jpg,1
China_Daily,img_40.jpg,2
China_Daily,img_59.jpg,1
China_Daily,img_92.jpg,0
China_Daily,img_1.jpg,0
China_Daily,img_10.jpg,1
China_Daily,img_56.jpg,2
China_Daily,img_16.jpg,4
China_Daily,img_71.jpg,3
China_Daily,img_90.jpg,2
China_Daily,img_53.jpg,1
China_Daily,img_74.jpg,6
China_Daily,img_88.jpg,1
China_Daily,img_30.jpg,0
China_Daily,img_68.jpg,5
China_Daily,img_24.jpg,11
China_Daily,img_34.jpg,1
China_Daily,img_91.jpg,3
China_Daily,img_95.jpg,3
China_Daily,img_36.jpg,1
China_Daily,img_78.jpg,2
China_Daily,img_60.jpg,0
China_Daily,img_33.jpg,2
China_Daily,img_35.jpg,1
China_Daily,img_84.jpg,0
China_Daily,img_77.jpg,0
China_Daily,img_70.jpg,3
China_Daily,img_42.jpg,0
China_Daily,img_58.jpg,2
China_Daily,img_54.jpg,0
China_Daily,img_45.jpg,0
China_Daily,img_19.jpg,4
China_Daily,img_28.jpg,3
People's_Daily,img_27.jpg,0
People's_Daily,img_25.jpg,0
People's_Daily,img_46.jpg,0
People's_Daily,img_62.jpg,1
People's_Daily,img_76.jpg,1
People's_Daily,img_64.jpg,5
People's_Daily,img_57.jpg,4
People's_Daily,img_72.jpg,0
People's_Daily,img_81.jpg,4
People's_Daily,img_94.jpg,4
People's_Daily,img_38.jpg,2
People's_Daily,img_51.jpg,5
People's_Daily,img_66.jpg,1
People's_Daily,img_26.jpg,4
People's_Daily,img_83.jpg,6
People's_Daily,img_69.jpg,0
People's_Daily,img_11.jpg,4
People's_Daily,img_65.jpg,1
People's_Daily,img_43.jpg,0
People's_Daily,img_8.jpg,0
People's_Daily,img_39.jpg,0
People's_Daily,img_44.jpg,0
People's_Daily,img_63.jpg,0
People's_Daily,img_97.jpg,0
People's_Daily,img_22.jpg,1
People's_Daily,img_52.jpg,3
People's_Daily,img_98.jpg,7
People's_Daily,img_89.jpg,4
People's_Daily,img_47.jpg,2
People's_Daily,img_49.jpg,0
People's_Daily,img_61.jpg,1
People's_Daily,img_87.jpg,0
People's_Daily,img_82.jpg,1
People's_Daily,img_7.jpg,0
People's_Daily,img_13.jpg,7
People's_Daily,img_12.jpg,1
People's_Daily,img_29.jpg,2
People's_Daily,img_37.jpg,0
People's_Daily,img_75.jpg,0
People's_Daily,img_48.jpg,1
People's_Daily,img_6.jpg,1
People's_Daily,img_85.jpg,1
People's_Daily,img_79.jpg,0
People's_Daily,img_17.jpg,1
People's_Daily,img_96.jpg,4
People's_Daily,img_73.jpg,0
People's_Daily,img_31.jpg,8
People's_Daily,img_5.jpg,0
People's_Daily,img_80.jpg,3
People's_Daily,img_67.jpg,0
People's_Daily,img_18.jpg,1
People's_Daily,img_93.jpg,0
People's_Daily,img_4.jpg,4
People's_Daily,img_21.jpg,0
People's_Daily,img_9.jpg,1
People's_Daily,img_86.jpg,1
People's_Daily,img_23.jpg,0
People's_Daily,img_15.jpg,6
People's_Daily,img_99.jpg,2
People's_Daily,img_55.jpg,5
People's_Daily,img_2.jpg,0
People's_Daily,img_50.jpg,1
People's_Daily,img_0.jpg,2
People's_Daily,img_41.jpg,4
People's_Daily,img_20.jpg,0
People's_Daily,img_3.jpg,8
People's_Daily,img_32.jpg,0
People's_Daily,img_40.jpg,0
People's_Daily,img_59.jpg,2
People's_Daily,img_92.jpg,1
People's_Daily,img_1.jpg,0
People's_Daily,img_10.jpg,5
People's_Daily,img_56.jpg,1
People's_Daily,img_16.jpg,1
People's_Daily,img_71.jpg,0
People's_Daily,img_90.jpg,1
People's_Daily,img_53.jpg,5
People's_Daily,img_74.jpg,1
People's_Daily,img_88.jpg,0
People's_Daily,img_30.jpg,1
People's_Daily,img_68.jpg,0
People's_Daily,img_24.jpg,2
People's_Daily,img_34.jpg,0
People's_Daily,img_91.jpg,2
People's_Daily,img_95.jpg,4
People's_Daily,img_36.jpg,3
People's_Daily,img_78.jpg,0
People's_Daily,img_60.jpg,0
People's_Daily,img_33.jpg,0
People's_Daily,img_35.jpg,1
People's_Daily,img_84.jpg,6
People's_Daily,img_77.jpg,1
People's_Daily,img_70.jpg,1
People's_Daily,img_42.jpg,2
People's_Daily,img_58.jpg,2
People's_Daily,img_54.jpg,1
People's_Daily,img_45.jpg,0
People's_Daily,img_19.jpg,2
People's_Daily,img_28.jpg,0
Xinhua_News_Agency,img_27.jpg,1
Xinhua_News_Agency,img_25.jpg,6
Xinhua_News_Agency,img_46.jpg,1
Xinhua_News_Agency,img_62.jpg,0
Xinhua_News_Agency,img_76.jpg,2
Xinhua_News_Agency,img_57.jpg,1
Xinhua_News_Agency,img_72.jpg,1
Xinhua_News_Agency,img_81.jpg,1
Xinhua_News_Agency,img_94.jpg,2
Xinhua_News_Agency,img_38.jpg,0
Xinhua_News_Agency,img_51.jpg,1
Xinhua_News_Agency,img_66.jpg,4
Xinhua_News_Agency,img_26.jpg,5
Xinhua_News_Agency,img_83.jpg,2
Xinhua_News_Agency,img_69.jpg,4
Xinhua_News_Agency,img_11.jpg,9
Xinhua_News_Agency,img_65.jpg,2
Xinhua_News_Agency,img_43.jpg,1
Xinhua_News_Agency,img_8.jpg,5
Xinhua_News_Agency,img_39.jpg,5
Xinhua_News_Agency,img_44.jpg,2
Xinhua_News_Agency,img_63.jpg,2
Xinhua_News_Agency,img_97.jpg,0
Xinhua_News_Agency,img_22.jpg,1
Xinhua_News_Agency,img_52.jpg,1
Xinhua_News_Agency,img_98.jpg,6
Xinhua_News_Agency,img_89.jpg,7
Xinhua_News_Agency,img_47.jpg,1
Xinhua_News_Agency,img_49.jpg,0
Xinhua_News_Agency,img_61.jpg,7
Xinhua_News_Agency,img_87.jpg,1
Xinhua_News_Agency,img_82.jpg,3
Xinhua_News_Agency,img_7.jpg,3
Xinhua_News_Agency,img_13.jpg,2
Xinhua_News_Agency,img_12.jpg,1
Xinhua_News_Agency,img_29.jpg,0
Xinhua_News_Agency,img_37.jpg,2
Xinhua_News_Agency,img_75.jpg,3
Xinhua_News_Agency,img_48.jpg,2
Xinhua_News_Agency,img_6.jpg,6
Xinhua_News_Agency,img_85.jpg,0
Xinhua_News_Agency,img_79.jpg,3
Xinhua_News_Agency,img_17.jpg,5
Xinhua_News_Agency,img_96.jpg,5
Xinhua_News_Agency,img_73.jpg,0
Xinhua_News_Agency,img_31.jpg,1
Xinhua_News_Agency,img_5.jpg,5
Xinhua_News_Agency,img_80.jpg,1
Xinhua_News_Agency,img_67.jpg,0
Xinhua_News_Agency,img_18.jpg,1
Xinhua_News_Agency,img_93.jpg,1
Xinhua_News_Agency,img_4.jpg,0
Xinhua_News_Agency,img_21.jpg,2
Xinhua_News_Agency,img_9.jpg,2
Xinhua_News_Agency,img_86.jpg,0
Xinhua_News_Agency,img_23.jpg,0
Xinhua_News_Agency,img_15.jpg,0
Xinhua_News_Agency,img_99.jpg,1
Xinhua_News_Agency,img_55.jpg,2
Xinhua_News_Agency,img_2.jpg,5
Xinhua_News_Agency,img_50.jpg,0
Xinhua_News_Agency,img_0.jpg,1
Xinhua_News_Agency,img_41.jpg,1
Xinhua_News_Agency,img_20.jpg,0
Xinhua_News_Agency,img_3.jpg,0
Xinhua_News_Agency,img_32.jpg,0
Xinhua_News_Agency,img_40.jpg,3
Xinhua_News_Agency,img_59.jpg,4
Xinhua_News_Agency,img_92.jpg,3
Xinhua_News_Agency,img_1.jpg,4
Xinhua_News_Agency,img_10.jpg,2
Xinhua_News_Agency,img_56.jpg,5
Xinhua_News_Agency,img_16.jpg,8
Xinhua_News_Agency,img_71.jpg,0
Xinhua_News_Agency,img_90.jpg,1
Xinhua_News_Agency,img_53.jpg,2
Xinhua_News_Agency,img_74.jpg,5
Xinhua_News_Agency,img_88.jpg,1
Xinhua_News_Agency,img_30.jpg,6
Xinhua_News_Agency,img_68.jpg,1
Xinhua_News_Agency,img_24.jpg,0
Xinhua_News_Agency,img_34.jpg,1
Xinhua_News_Agency,img_91.jpg,0
Xinhua_News_Agency,img_95.jpg,0
Xinhua_News_Agency,img_36.jpg,0
Xinhua_News_Agency,img_78.jpg,0
Xinhua_News_Agency,img_60.jpg,0
Xinhua_News_Agency,img_33.jpg,4
Xinhua_News_Agency,img_35.jpg,2
Xinhua_News_Agency,img_84.jpg,3
Xinhua_News_Agency,img_77.jpg,0
Xinhua_News_Agency,img_70.jpg,4
Xinhua_News_Agency,img_42.jpg,2
Xinhua_News_Agency,img_58.jpg,0
Xinhua_News_Agency,img_54.jpg,7
Xinhua_News_Agency,img_45.jpg,0
Xinhua_News_Agency,img_19.jpg,1
Xinhua_News_Agency,img_28.jpg,0
